월,일,요일,시간,구장,홈팀,홈점수,원정점수,원정팀,홈팀승리
06,08,일,17:00,대구,NC,0.0,1.0,삼성,-1.0
06,08,일,17:00,수원,SSG,3.0,2.0,KT,1.0
06,08,일,17:00,광주,한화,6.0,7.0,KIA,-1.0
06,10,화,18:30,잠실,SSG,6.0,2.0,LG,1.0
06,10,화,18:30,수원,롯데,3.0,12.0,KT,-1.0
06,10,화,18:30,광주,삼성,8.0,0.0,KIA,1.0
06,10,화,18:30,고척,NC,2.0,2.0,키움,0.0
06,10,화,18:30,대전(신),두산,2.0,6.0,한화,-1.0
06,11,수,18:30,잠실,SSG,4.0,6.0,LG,-1.0
06,11,수,18:30,수원,롯데,4.0,3.0,KT,1.0
06,11,수,18:30,광주,삼성,3.0,6.0,KIA,-1.0
06,11,수,18:30,고척,NC,7.0,1.0,키움,1.0
06,11,수,18:30,대전(신),두산,1.0,9.0,한화,-1.0
06,12,목,18:30,잠실,SSG,6.0,8.0,LG,-1.0
06,12,목,18:30,수원,롯데,12.0,7.0,KT,1.0
06,12,목,18:30,광주,삼성,2.0,1.0,KIA,1.0
06,12,목,18:30,고척,NC,8.0,6.0,키움,1.0
06,12,목,18:30,대전(신),두산,2.0,3.0,한화,-1.0
06,13,금,18:30,창원,KIA,1.0,4.0,NC,-1.0
06,14,토,17:00,잠실,키움,1.0,4.0,두산,-1.0
06,14,토,17:00,문학,롯데,4.0,2.0,SSG,1.0
06,14,토,17:00,대구,KT,10.0,3.0,삼성,1.0
06,14,토,17:00,창원,KIA,9.0,8.0,NC,1.0
06,14,토,17:00,대전(신),LG,2.0,2.0,한화,0.0
06,15,일,17:00,잠실,키움,2.0,3.0,두산,-1.0
06,15,일,17:00,문학,롯데,0.0,1.0,SSG,-1.0
06,15,일,17:00,대구,KT,16.0,4.0,삼성,1.0
06,15,일,17:00,창원,KIA,4.0,2.0,NC,1.0
06,15,일,17:00,대전(신),LG,5.0,10.0,한화,-1.0
